NIVEL_CLUSTER,CNAE,CNAE_ESPELHO,SCORE
2,311602,312402,0.8465453618232005
1,311602,311601,0.8370851699841978
2,311602,311601,0.8370851699841978
2,311602,312401,0.7924593733185874
2,311602,311604,0.7816032923429386
2,311602,321301,0.7814460065240402
2,311602,321302,0.7777483984674992
2,311602,311603,0.7744314059150704
2,311602,321304,0.7707383379668655
0,311603,311603,1.0
1,311603,311603,1.0
2,311603,311603,1.0
1,311603,312403,0.8296892491132052
2,311603,312403,0.8296892491132052
2,311603,311601,0.780713596573313
2,311603,311602,0.7744314059150704
0,311604,311604,1.0
1,311604,311604,1.0
2,311604,311604,1.0
1,311604,312404,0.8481892880210071
2,311604,312404,0.8481892880210071
1,311604,321305,0.8376035524461773
2,311604,321305,0.8376035524461773
1,311604,311601,0.8187074909858392
2,311604,311601,0.8187074909858392
1,311604,322107,0.8027379631152529
2,311604,322107,0.8027379631152529
2,311604,312401,0.7846760683754308
2,311604,311602,0.7816032923429386
0,312401,312401,1.0
1,312401,312401,1.0
2,312401,312401,1.0
1,312401,311601,0.8358106766261401
2,312401,311601,0.8358106766261401
1,312401,312402,0.8305876209445356
2,312401,312402,0.8305876209445356
1,312401,322101,0.8147797596749914
2,312401,322101,0.8147797596749914
1,312401,312404,0.8111053301842509
2,312401,312404,0.8111053301842509
2,312401,322104,0.7974961925658817
2,312401,311602,0.7924593733185874
2,312401,311604,0.7846760683754308
2,312401,312403,0.784118773773996
2,312401,322105,0.7707803028015601
0,312402,312402,1.0
1,312402,312402,1.0
2,312402,312402,1.0
1,312402,311602,0.8465453618232005
2,312402,311602,0.8465453618232005
1,312402,312401,0.8305876209445356
2,312402,312401,0.8305876209445356
2,312402,322102,0.7840653261588196
2,312402,322101,0.7824565672804724
2,312402,311601,0.7803481781057058
2,312402,312404,0.7743917678415692
2,312402,322104,0.7721722119689138
0,312403,312403,1.0
1,312403,312403,1.0
2,312403,312403,1.0
1,312403,311603,0.8296892491132052
2,312403,311603,0.8296892491132052
2,312403,312401,0.784118773773996
0,312404,312404,1.0
1,312404,312404,1.0
2,312404,312404,1.0
1,312404,311604,0.8481892880210071
2,312404,311604,0.8481892880210071
1,312404,322107,0.8425807755172408
2,312404,322107,0.8425807755172408
1,312404,312401,0.8111053301842509
2,312404,312401,0.8111053301842509
2,312404,321305,0.793308307130352
2,312404,312402,0.7743917678415692
2,312404,322101,0.7702424657088777
0,321301,321301,1.0
1,321301,321301,1.0
2,321301,321301,1.0
1,321301,321304,0.8972447732979645
2,321301,321304,0.8972447732979645
1,321301,321302,0.8301503551565019
2,321301,321302,0.8301503551565019
1,321301,321303,0.821403885757576
2,321301,321303,0.821403885757576
1,321301,322101,0.8130050539124796
2,321301,322101,0.8130050539124796
2,321301,321305,0.7973630474840903
2,321301,322104,0.7948309473768752
2,321301,311601,0.7924522292900592
2,321301,321399,0.7859921844989803
2,321301,311602,0.7814460065240402
0,321302,321302,1.0
1,321302,321302,1.0
2,321302,321302,1.0
1,321302,321301,0.8301503551565019
2,321302,321301,0.8301503551565019
1,321302,322102,0.8239521547576429
2,321302,322102,0.8239521547576429
1,321302,321304,0.8151530211672477
2,321302,321304,0.8151530211672477
1,321302,321303,0.8047432117839839
2,321302,321303,0.8047432117839839
2,321302,311602,0.7777483984674992
0,321303,321303,1.0
1,321303,321303,1.0
2,321303,321303,1.0
1,321303,322103,0.835517863863014
2,321303,322103,0.835517863863014
1,321303,321301,0.821403885757576
2,321303,321301,0.821403885757576
1,321303,321304,0.8183607100148456
2,321303,321304,0.8183607100148456
1,321303,321302,0.8047432117839839
2,321303,321302,0.8047432117839839
0,321304,321304,1.0
1,321304,321304,1.0
2,321304,321304,1.0
1,321304,321301,0.8972447732979645
2,321304,321301,0.8972447732979645
1,321304,321303,0.8183607100148456
2,321304,321303,0.8183607100148456
1,321304,322104,0.8175167089547583
2,321304,322104,0.8175167089547583
1,321304,321302,0.8151530211672477
2,321304,321302,0.8151530211672477
1,321304,322101,0.8038106904446303
2,321304,322101,0.8038106904446303
2,321304,321305,0.7895828239195176
2,321304,321399,0.7806546272291272
2,321304,311601,0.7785648952840403
2,321304,311602,0.7707383379668655
0,321305,321305,1.0
1,321305,321305,1.0
2,321305,321305,1.0
1,321305,311604,0.8376035524461773
2,321305,311604,0.8376035524461773
1,321305,322107,0.8200167059402615
2,321305,322107,0.8200167059402615
2,321305,321301,0.7973630474840903
2,321305,312404,0.793308307130352
2,321305,321304,0.7895828239195176
2,321305,321399,0.7870168148315511
2,321305,311601,0.773689032903305
0,321399,321399,1.0
1,321399,321399,1.0
2,321399,321399,1.0
1,321399,322199,0.8210821587991494
2,321399,322199,0.8210821587991494
2,321399,321305,0.7870168148315511
2,321399,321301,0.7859921844989803
2,321399,321304,0.7806546272291272
0,322101,322101,1.0
1,322101,322101,1.0
2,322101,322101,1.0
1,322101,322104,0.8887596657132706
2,322101,322104,0.8887596657132706
1,322101,312401,0.8147797596749914
2,322101,312401,0.8147797596749914
1,322101,321301,0.8130050539124796
2,322101,321301,0.8130050539124796
1,322101,322102,0.8119856697712693
2,322101,322102,0.8119856697712693
1,322101,321304,0.8038106904446303
2,322101,321304,0.8038106904446303
2,322101,322103,0.7902072667021554
2,322101,322105,0.7874752210608188
2,322101,322107,0.7847461397874793
2,322101,312402,0.7824565672804724
2,322101,322106,0.7808039104863138
2,322101,322199,0.7742155511940564
2,322101,312404,0.7702424657088777
2,322101,311601,0.7701547369895094
0,322102,322102,1.0
1,322102,322102,1.0
2,322102,322102,1.0
1,322102,321302,0.8239521547576429
2,322102,321302,0.8239521547576429
1,322102,322101,0.8119856697712693
2,322102,322101,0.8119856697712693
2,322102,322104,0.7960393990995676
2,322102,322103,0.7841013658893097
2,322102,312402,0.7840653261588196
2,322102,322106,0.7779958375772147
0,322103,322103,1.0
1,322103,322103,1.0
2,322103,322103,1.0
1,322103,321303,0.835517863863014
2,322103,321303,0.835517863863014
2,322103,322104,0.79040548164129
2,322103,322101,0.7902072667021554
2,322103,322102,0.7841013658893097
0,322104,322104,1.0
1,322104,322104,1.0
2,322104,322104,1.0
1,322104,322101,0.8887596657132706
2,322104,322101,0.8887596657132706
1,322104,321304,0.8175167089547583
2,322104,321304,0.8175167089547583
2,322104,312401,0.7974961925658817
2,322104,322102,0.7960393990995676
2,322104,321301,0.7948309473768752
2,322104,322103,0.79040548164129
2,322104,322105,0.7807885372578657
2,322104,322107,0.7783414660487907
2,322104,322106,0.7772010256108419
2,322104,312402,0.7721722119689138
0,322105,322105,1.0
1,322105,322105,1.0
2,322105,322105,1.0
2,322105,322101,0.7874752210608188
2,322105,322199,0.7853663737700264
2,322105,322104,0.7807885372578657
2,322105,322107,0.7732156620875921
2,322105,312401,0.7707803028015601
0,322106,322106,1.0
1,322106,322106,1.0
2,322106,322106,1.0
2,322106,322101,0.7808039104863138
2,322106,322102,0.7779958375772147
2,322106,322104,0.7772010256108419
0,322107,322107,1.0
1,322107,322107,1.0
2,322107,322107,1.0
1,322107,312404,0.8425807755172408
2,322107,312404,0.8425807755172408
